 time            v(g_pulse)      v(n1)          
 1.99676344e-10  1.20000000e+00  7.59528773e-01 
 2.00457057e-10  1.20000000e+00  7.72541592e-01 
 2.01171531e-10  1.20000000e+00  7.83997797e-01 
 2.01959900e-10  1.20000000e+00  7.96123688e-01 
 2.02756057e-10  1.20000000e+00  8.07809152e-01 
 2.03641294e-10  1.20000000e+00  8.20127883e-01 
 2.04378050e-10  1.20000000e+00  8.29833248e-01 
 2.05096945e-10  1.20000000e+00  8.38825619e-01 
 2.05886046e-10  1.20000000e+00  8.48161432e-01 
 2.06606555e-10  1.20000000e+00  8.56207442e-01 
 2.07346041e-10  1.20000000e+00  8.64004183e-01 
 2.08045482e-10  1.20000000e+00  8.70961973e-01 
 2.08742885e-10  1.20000000e+00  8.77510119e-01 
 2.09434405e-10  1.20000000e+00  8.83633974e-01 
 2.10138253e-10  1.20000000e+00  8.89505231e-01 
 2.10858104e-10  1.20000000e+00  8.95149239e-01 
 2.11595674e-10  1.20000000e+00  9.00571773e-01 
 2.12353278e-10  1.20000000e+00  9.05781198e-01 
 2.13130616e-10  1.20000000e+00  9.10767483e-01 
 2.13930681e-10  1.20000000e+00  9.15542237e-01 
 2.14754101e-10  1.20000000e+00  9.20101536e-01 
 2.15604030e-10  1.20000000e+00  9.24455217e-01 
 2.16457276e-10  1.20000000e+00  9.28490816e-01 
 2.17314761e-10  1.20000000e+00  9.32232830e-01 
 2.18172903e-10  1.20000000e+00  9.35686558e-01 
 2.19037775e-10  1.20000000e+00  9.38895408e-01 
 2.19896362e-10  1.20000000e+00  9.41832038e-01 
 2.20753701e-10  1.20000000e+00  9.44536775e-01 
 2.21637540e-10  1.20000000e+00  9.47106750e-01 
 2.22536975e-10  1.20000000e+00  9.49514006e-01 
 2.23342479e-10  1.20000000e+00  9.51508459e-01 
 2.24209050e-10  1.20000000e+00  9.53501610e-01 
 2.25048228e-10  1.20000000e+00  9.55296392e-01 
 2.25933602e-10  1.20000000e+00  9.57064313e-01 
 2.26838834e-10  1.20000000e+00  9.58758096e-01 
 2.27578496e-10  1.20000000e+00  9.60068953e-01 
 2.28251607e-10  1.20000000e+00  9.61213246e-01 
 2.28921454e-10  1.20000000e+00  9.62312851e-01 
 2.29648512e-10  1.20000000e+00  9.63468284e-01 
 2.30322580e-10  1.20000000e+00  9.64508478e-01 
 2.31030090e-10  1.20000000e+00  9.65572609e-01 
 2.31709889e-10  1.20000000e+00  9.66572000e-01 
 2.32425127e-10  1.20000000e+00  9.67602647e-01 
 2.33128411e-10  1.20000000e+00  9.68598249e-01 
 2.33866791e-10  1.20000000e+00  9.69627514e-01 
 2.34602551e-10  1.20000000e+00  9.70639475e-01 
 2.35371786e-10  1.20000000e+00  9.71685596e-01 
 2.36143466e-10  1.20000000e+00  9.72725345e-01 
 2.36944611e-10  1.20000000e+00  9.73797081e-01 
 2.37748354e-10  1.20000000e+00  9.74866855e-01 
 2.38573623e-10  1.20000000e+00  9.75962110e-01 
 2.39396020e-10  1.20000000e+00  9.77052712e-01 
 2.40228808e-10  1.20000000e+00  9.78158476e-01 
 2.41052296e-10  1.20000000e+00  9.79255132e-01 
 2.41850348e-10  1.20000000e+00  9.80322333e-01 
 2.42526843e-10  1.20000000e+00  9.81230928e-01 
 2.43127172e-10  1.20000000e+00  9.82040525e-01 
 2.43695250e-10  1.20000000e+00  9.82809480e-01 
 2.44309601e-10  1.20000000e+00  9.83643932e-01 
 2.44878574e-10  1.20000000e+00  9.84419594e-01 
 2.45558486e-10  1.20000000e+00  9.85351087e-01 
 2.46262215e-10  1.20000000e+00  9.86321512e-01 
 2.46795556e-10  1.20000000e+00  9.87061420e-01 
 2.47410256e-10  1.20000000e+00  9.87917574e-01 
 2.47976023e-10  1.20000000e+00  9.88707219e-01 
 2.48646100e-10  1.20000000e+00  9.89642239e-01 
 2.49302708e-10  1.20000000e+00  9.90555887e-01 
 2.50080221e-10  1.20000000e+00  9.91630936e-01 
 2.50814529e-10  1.20000000e+00  9.92637324e-01 
 2.51523693e-10  1.20000000e+00  9.93599867e-01 
 2.52246200e-10  1.20000000e+00  9.94568819e-01 
 2.52914571e-10  1.20000000e+00  9.95452727e-01 
 2.53587590e-10  1.20000000e+00  9.96329851e-01 
 2.54246564e-10  1.20000000e+00  9.97175355e-01 
 2.54909060e-10  1.20000000e+00  9.98011356e-01 
 2.55569859e-10  1.20000000e+00  9.98830428e-01 
 2.56285890e-10  1.20000000e+00  9.99700113e-01 
 2.56948541e-10  1.20000000e+00  1.00048679e+00 
 2.57405421e-10  1.20000000e+00  1.00101768e+00 
 2.57851499e-10  1.20000000e+00  1.00152545e+00 
 2.58471712e-10  1.20000000e+00  1.00221100e+00 
 2.59022395e-10  1.20000000e+00  1.00279659e+00 
 2.59497164e-10  1.20000000e+00  1.00328155e+00 
 2.59977182e-10  1.20000000e+00  1.00375113e+00 
 2.60496294e-10  1.20000000e+00  1.00423383e+00 
 2.60977794e-10  1.20000000e+00  1.00465729e+00 
