 frequency       frequency       onoise_spectrum inoise_spectrum
 1.51356125e+03  1.51356125e+03  1.36900223e-08  5.67972057e-07 
 1.58489319e+03  1.58489319e+03  1.33809386e-08  5.55148781e-07 
 1.65958691e+03  1.65958691e+03  1.30789491e-08  5.42619832e-07 
 1.73780083e+03  1.73780083e+03  1.27838937e-08  5.30378565e-07 
 1.81970086e+03  1.81970086e+03  1.24956159e-08  5.18418487e-07 
 1.90546072e+03  1.90546072e+03  1.22139628e-08  5.06733256e-07 
 1.99526231e+03  1.99526231e+03  1.19387851e-08  4.95316675e-07 
 2.08929613e+03  2.08929613e+03  1.16699368e-08  4.84162687e-07 
 2.18776162e+03  2.18776162e+03  1.14072752e-08  4.73265377e-07 
 2.29086765e+03  2.29086765e+03  1.11506612e-08  4.62618965e-07 
 2.39883292e+03  2.39883292e+03  1.08999585e-08  4.52217803e-07 
 2.51188643e+03  2.51188643e+03  1.06550341e-08  4.42056375e-07 
 2.63026799e+03  2.63026799e+03  1.04157582e-08  4.32129289e-07 
 2.75422870e+03  2.75422870e+03  1.01820038e-08  4.22431280e-07 
 2.88403150e+03  2.88403150e+03  9.95364691e-09  4.12957202e-07 
 3.01995172e+03  3.01995172e+03  9.73056633e-09  4.03702028e-07 
 3.16227766e+03  3.16227766e+03  9.51264372e-09  3.94660848e-07 
 3.31131121e+03  3.31131121e+03  9.29976342e-09  3.85828864e-07 
 3.46736850e+03  3.46736850e+03  9.09181249e-09  3.77201389e-07 
 3.63078055e+03  3.63078055e+03  8.88868054e-09  3.68773845e-07 
 3.80189396e+03  3.80189396e+03  8.69025977e-09  3.60541758e-07 
 3.98107171e+03  3.98107171e+03  8.49644484e-09  3.52500758e-07 
 4.16869383e+03  4.16869383e+03  8.30713288e-09  3.44646578e-07 
 4.36515832e+03  4.36515832e+03  8.12222335e-09  3.36975046e-07 
 4.57088190e+03  4.57088190e+03  7.94161808e-09  3.29482089e-07 
 4.78630092e+03  4.78630092e+03  7.76522115e-09  3.22163728e-07 
 5.01187234e+03  5.01187234e+03  7.59293886e-09  3.15016075e-07 
 5.24807460e+03  5.24807460e+03  7.42467968e-09  3.08035333e-07 
 5.49540874e+03  5.49540874e+03  7.26035422e-09  3.01217793e-07 
 5.75439937e+03  5.75439937e+03  7.09987513e-09  2.94559832e-07 
 6.02559586e+03  6.02559586e+03  6.94315711e-09  2.88057910e-07 
 6.30957344e+03  6.30957344e+03  6.79011683e-09  2.81708571e-07 
 6.60693448e+03  6.60693448e+03  6.64067290e-09  2.75508436e-07 
 6.91830971e+03  6.91830971e+03  6.49474582e-09  2.69454209e-07 
 7.24435960e+03  7.24435960e+03  6.35225792e-09  2.63542667e-07 
