 time            v(A)            v(B)            v(A_GT_B)       v(A_LT_B)       v(A_EQ_B)      
 1.23500000e-09  1.20000000e+00  1.20000000e+00  1.26734239e+00  2.33588675e-05  9.09111740e-03 
 1.24500000e-09  1.20000000e+00  1.20000000e+00  1.27192958e+00 -1.11764994e-05  9.33426801e-03 
 1.25500000e-09  1.20000000e+00  1.20000000e+00  9.27382129e-01 -1.27283885e-05 -1.99863859e-03 
 1.26500000e-09  1.20000000e+00  1.20000000e+00  2.91376726e-01  2.05682269e-05 -3.61550083e-02 
 1.27500000e-09  1.20000000e+00  1.20000000e+00  1.07903342e-02  1.58656536e-05 -8.09864983e-02 
 1.28466734e-09  1.20000000e+00  1.20000000e+00  1.34464981e-02 -2.83617561e-05 -1.11336181e-01 
 1.29466734e-09  1.20000000e+00  1.20000000e+00 -4.84719418e-03  9.98949004e-06  7.99990822e-02 
 1.30466734e-09  1.20000000e+00  1.20000000e+00  3.19388440e-03 -8.20096446e-06  6.63516565e-01 
 1.31466734e-09  1.20000000e+00  1.20000000e+00 -1.56327780e-03 -9.55348949e-06  1.13601020e+00 
 1.32466734e-09  1.20000000e+00  1.20000000e+00  9.99982545e-04  1.65285349e-05  1.18788524e+00 
 1.33466734e-09  1.20000000e+00  1.20000000e+00 -4.85169170e-04 -1.15252214e-05  1.19027734e+00 
 1.34466734e-09  1.20000000e+00  1.20000000e+00  3.13024879e-04 -3.62258617e-06  1.20032142e+00 
 1.35466734e-09  1.20000000e+00  1.20000000e+00 -1.40602131e-04  6.75966793e-06  1.19761411e+00 
 1.36466734e-09  1.20000000e+00  1.20000000e+00  1.00513547e-04 -6.18791950e-06  1.20103686e+00 
 1.37466734e-09  1.20000000e+00  1.20000000e+00 -3.80036456e-05  5.30934463e-06  1.19898958e+00 
 1.38466734e-09  1.20000000e+00  1.20000000e+00  3.43306018e-05 -4.00433250e-06  1.20067542e+00 
 1.39466734e-09  1.20000000e+00  1.20000000e+00 -8.24719850e-06  2.46900642e-06  1.19946265e+00 
 1.40466734e-09  1.20000000e+00  1.20000000e+00  1.35263109e-05 -1.46720409e-06  1.20039712e+00 
 1.41466734e-09  1.20000000e+00  1.20000000e+00 -2.19769224e-07  5.76086309e-07  1.19969370e+00 
 1.42466734e-09  1.20000000e+00  1.20000000e+00  6.66054208e-06 -5.03820999e-08  1.20023277e+00 
 1.43466734e-09  1.20000000e+00  1.20000000e+00  1.56843792e-06 -3.05410034e-07  1.19982067e+00 
 1.44466734e-09  1.20000000e+00  1.20000000e+00  3.98739808e-06  4.93209602e-07  1.20013781e+00 
 1.45466734e-09  1.20000000e+00  1.20000000e+00  1.78039171e-06 -5.68030314e-07  1.19989341e+00 
 1.46466734e-09  1.20000000e+00  1.20000000e+00  2.77856180e-06  5.87069049e-07  1.20008244e+00 
 1.47466734e-09  1.20000000e+00  1.20000000e+00  1.60363455e-06 -5.46688975e-07  1.19993599e+00 
 1.48466734e-09  1.20000000e+00  1.20000000e+00  2.10092777e-06  5.04667080e-07  1.20004972e+00 
 1.49466734e-09  1.20000000e+00  1.20000000e+00  1.38090050e-06 -4.32236333e-07  1.19996128e+00 
 1.50466734e-09  1.20000000e+00  1.20000000e+00  1.65812833e-06  3.80583792e-07  1.20003017e+00 
 1.51466734e-09  1.20000000e+00  1.20000000e+00  1.18539057e-06 -3.10271341e-07  1.19997645e+00 
 1.52466734e-09  1.20000000e+00  1.20000000e+00  1.34348235e-06  2.68060870e-07  1.20001839e+00 
 1.53466734e-09  1.20000000e+00  1.20000000e+00  1.02414234e-06 -2.10294816e-07  1.19998562e+00 
 1.54466734e-09  1.20000000e+00  1.20000000e+00  1.11017519e-06  1.81650254e-07  1.20001124e+00 
 1.55466734e-09  1.20000000e+00  1.20000000e+00  8.91475321e-07 -1.37098828e-07  1.19999119e+00 
 1.56466734e-09  1.20000000e+00  1.20000000e+00  9.32772364e-07  1.20521432e-07  1.20000689e+00 
 1.57466734e-09  1.20000000e+00  1.20000000e+00  7.87190488e-07 -8.67508318e-08  1.19999460e+00 
 1.58466734e-09  1.20000000e+00  1.20000000e+00  7.92218008e-07  7.93439144e-08  1.20000423e+00 
 1.59466734e-09  1.20000000e+00  1.20000000e+00  6.89149335e-07 -5.32941415e-08  1.19999668e+00 
 1.60466734e-09  1.20000000e+00  1.20000000e+00  6.86293406e-07  5.22588917e-08  1.20000260e+00 
 1.61466734e-09  1.20000000e+00  1.20000000e+00  6.09694643e-07 -3.16043435e-08  1.19999795e+00 
 1.62466734e-09  1.20000000e+00  1.20000000e+00  6.00050065e-07  3.48619830e-08  1.20000160e+00 
 1.63466734e-09  1.20000000e+00  1.20000000e+00  5.42975093e-07 -1.77774970e-08  1.19999874e+00 
 1.64466734e-09  1.20000000e+00  1.20000000e+00  5.29387283e-07  2.38221297e-08  1.20000098e+00 
 1.65466734e-09  1.20000000e+00  1.20000000e+00  4.86172880e-07 -9.05656516e-09  1.19999922e+00 
 1.66466734e-09  1.20000000e+00  1.20000000e+00  4.70879528e-07  1.68716148e-08  1.20000061e+00 
 1.67466734e-09  1.20000000e+00  1.20000000e+00  4.37439136e-07 -3.59588181e-09  1.19999952e+00 
 1.68466734e-09  1.20000000e+00  1.20000000e+00  4.21879987e-07  1.25180193e-08  1.20000037e+00 
 1.69466734e-09  1.20000000e+00  1.20000000e+00  3.95392670e-07 -1.94626648e-10  1.19999970e+00 
 1.70466734e-09  1.20000000e+00  1.20000000e+00  3.80393501e-07  9.79950687e-09  1.20000023e+00 
 1.71466734e-09  1.20000000e+00  1.20000000e+00  3.58937267e-07  1.91516719e-09  1.19999982e+00 
 1.72466734e-09  1.20000000e+00  1.20000000e+00  3.44918406e-07  8.10458251e-09  1.20000014e+00 
 1.73466734e-09  1.20000000e+00  1.20000000e+00  3.27180915e-07  3.21917787e-09  1.19999988e+00 
 1.74466734e-09  1.20000000e+00  1.20000000e+00  3.14314987e-07  7.04800612e-09  1.20000009e+00 
 1.75466734e-09  1.20000000e+00  1.20000000e+00  2.99390466e-07  4.02224998e-09  1.19999993e+00 
 1.76466734e-09  1.20000000e+00  1.20000000e+00  2.87707495e-07  6.38856579e-09  1.20000005e+00 
 1.77466734e-09  1.20000000e+00  1.20000000e+00  2.74960623e-07  4.51473825e-09  1.19999995e+00 
 1.78466734e-09  1.20000000e+00  1.20000000e+00  2.64413837e-07  5.97585409e-09  1.20000003e+00 
 1.79466734e-09  1.20000000e+00  1.20000000e+00  2.53390203e-07  4.81508106e-09  1.19999997e+00 
 1.80466734e-09  1.20000000e+00  1.20000000e+00  2.43895581e-07  5.71634368e-09  1.20000002e+00 
 1.81466734e-09  1.20000000e+00  1.20000000e+00  2.34263114e-07  4.99678510e-09  1.19999998e+00 
 1.82466734e-09  1.20000000e+00  1.20000000e+00  2.25722299e-07  5.55198171e-09  1.20000001e+00 
 1.83466734e-09  1.20000000e+00  1.20000000e+00  2.17232882e-07  5.10538684e-09  1.19999999e+00 
 1.84466734e-09  1.20000000e+00  1.20000000e+00  2.09545894e-07  5.44677309e-09  1.20000000e+00 
 1.85466734e-09  1.20000000e+00  1.20000000e+00  2.02010035e-07  5.16905740e-09  1.19999999e+00 
 1.86466734e-09  1.20000000e+00  1.20000000e+00  1.95081884e-07  5.37841033e-09  1.20000000e+00 
 1.87466734e-09  1.20000000e+00  1.20000000e+00  1.88351832e-07  5.20520427e-09  1.19999999e+00 
 1.88466734e-09  1.20000000e+00  1.20000000e+00  1.82095569e-07  5.33307065e-09  1.20000000e+00 
 1.89466734e-09  1.20000000e+00  1.20000000e+00  1.76053915e-07  5.22456983e-09  1.19999999e+00 
 1.90466734e-09  1.20000000e+00  1.20000000e+00  1.70391685e-07  5.30218408e-09  1.20000000e+00 
 1.91466734e-09  1.20000000e+00  1.20000000e+00  1.64943532e-07  5.23377630e-09  1.20000000e+00 
 1.92466734e-09  1.20000000e+00  1.20000000e+00  1.59806528e-07  5.28043481e-09  1.20000000e+00 
 1.93466734e-09  1.20000000e+00  1.20000000e+00  1.54874037e-07  5.23689958e-09  1.20000000e+00 
 1.94466734e-09  1.20000000e+00  1.20000000e+00  1.50201918e-07  5.26451827e-09  1.20000000e+00 
 1.95466734e-09  1.20000000e+00  1.20000000e+00  1.45720422e-07  5.23644106e-09  1.20000000e+00 
 1.96466734e-09  1.20000000e+00  1.20000000e+00  1.41460490e-07  5.25237742e-09  1.20000000e+00 
 1.97466734e-09  1.20000000e+00  1.20000000e+00  1.37375679e-07  5.23393295e-09  1.20000000e+00 
 1.98466734e-09  1.20000000e+00  1.20000000e+00  1.33481996e-07  5.24272586e-09  1.20000000e+00 
 1.99466734e-09  1.20000000e+00  1.20000000e+00  1.29747832e-07  5.23030796e-09  1.20000000e+00 
 2.00466734e-09  1.20000000e+00  1.20000000e+00  1.26180363e-07  5.23475702e-09  1.20000000e+00 
 2.01466734e-09  1.20000000e+00  1.20000000e+00  1.22757512e-07  5.22613053e-09  1.20000000e+00 
 2.02466734e-09  1.20000000e+00  1.20000000e+00  1.19481336e-07  5.22795973e-09  1.20000000e+00 
 2.03466734e-09  1.20000000e+00  1.20000000e+00  1.16335962e-07  5.22173849e-09  1.20000000e+00 
 2.04466734e-09  1.20000000e+00  1.20000000e+00  1.13320573e-07  5.22200777e-09  1.20000000e+00 
 2.05466734e-09  1.20000000e+00  1.20000000e+00  1.10423397e-07  5.21732990e-09  1.20000000e+00 
 2.06466734e-09  1.20000000e+00  1.20000000e+00  1.07642091e-07  5.21669030e-09  1.20000000e+00 
 2.07466734e-09  1.20000000e+00  1.20000000e+00  1.04967647e-07  5.21301907e-09  1.20000000e+00 
 2.08466734e-09  1.20000000e+00  1.20000000e+00  1.02396992e-07  5.21186849e-09  1.20000000e+00 
 2.09466734e-09  1.20000000e+00  1.20000000e+00  9.99230284e-08  5.20886784e-09  1.20000000e+00 
 2.10466734e-09  1.20000000e+00  1.20000000e+00  9.75424143e-08  5.20744753e-09  1.20000000e+00 
 2.11466734e-09  1.20000000e+00  1.20000000e+00  9.52494061e-08  5.20490617e-09  1.20000000e+00 
 2.12466734e-09  1.20000000e+00  1.20000000e+00  9.30406562e-08  5.20336357e-09  1.20000000e+00 
 2.13466734e-09  1.20000000e+00  1.20000000e+00  9.09114075e-08  5.20114773e-09  1.20000000e+00 
 2.14466734e-09  1.20000000e+00  1.20000000e+00  8.88584502e-08  5.19956822e-09  1.20000000e+00 
 2.15466734e-09  1.20000000e+00  1.20000000e+00  8.68777644e-08  5.19759213e-09  1.20000000e+00 
 2.16466734e-09  1.20000000e+00  1.20000000e+00  8.49663496e-08  5.19602728e-09  1.20000000e+00 
 2.17466734e-09  1.20000000e+00  1.20000000e+00  8.31207563e-08  5.19423510e-09  1.20000000e+00 
 2.18466734e-09  1.20000000e+00  1.20000000e+00  8.13382171e-08  5.19271404e-09  1.20000000e+00 
 2.19466734e-09  1.20000000e+00  1.20000000e+00  7.96157372e-08  5.19106802e-09  1.20000000e+00 
 2.20000000e-09  1.20000000e+00  1.20000000e+00  7.85648967e-08  5.19535359e-09  1.20000000e+00 
 2.20100000e-09  1.18800000e+00  1.20000000e+00 -2.51607191e-03 -5.41339569e-04  1.19975635e+00 
 2.20300000e-09  1.16400000e+00  1.20000000e+00 -4.67417307e-03 -8.74929556e-04  1.19978920e+00 
 2.20700000e-09  1.11600000e+00  1.20000000e+00 -2.78029647e-03 -2.14992864e-04  1.20015460e+00 
 2.21500000e-09  1.02000000e+00  1.20000000e+00 -3.38728541e-04  1.97940600e-04  1.20001905e+00 
