 time            v(in)           v(out)         
 2.17658694e-09  0.00000000e+00  1.19925830e+00 
 2.18658694e-09  0.00000000e+00  1.19925830e+00 
 2.19658694e-09  0.00000000e+00  1.19925830e+00 
 2.20658694e-09  0.00000000e+00  1.19925830e+00 
 2.21658694e-09  0.00000000e+00  1.19925830e+00 
 2.22658694e-09  0.00000000e+00  1.19925830e+00 
 2.23658694e-09  0.00000000e+00  1.19925830e+00 
 2.24658694e-09  0.00000000e+00  1.19925830e+00 
 2.25658694e-09  0.00000000e+00  1.19925830e+00 
 2.26658694e-09  0.00000000e+00  1.19925830e+00 
 2.27658694e-09  0.00000000e+00  1.19925830e+00 
 2.28658694e-09  0.00000000e+00  1.19925830e+00 
 2.29658694e-09  0.00000000e+00  1.19925830e+00 
 2.30658694e-09  0.00000000e+00  1.19925830e+00 
 2.31658694e-09  0.00000000e+00  1.19925830e+00 
 2.32658694e-09  0.00000000e+00  1.19925830e+00 
 2.33658694e-09  0.00000000e+00  1.19925830e+00 
 2.34658694e-09  0.00000000e+00  1.19925830e+00 
 2.35658694e-09  0.00000000e+00  1.19925830e+00 
 2.36658694e-09  0.00000000e+00  1.19925830e+00 
 2.37658694e-09  0.00000000e+00  1.19925830e+00 
 2.38658694e-09  0.00000000e+00  1.19925830e+00 
 2.39658694e-09  0.00000000e+00  1.19925830e+00 
 2.40000000e-09  0.00000000e+00  1.19925830e+00 
 2.40000049e-09  5.92227137e-06  1.19925830e+00 
 2.40000148e-09  1.77668141e-05  1.19925830e+00 
 2.40000345e-09  4.14558996e-05  1.19925831e+00 
 2.40000740e-09  8.88340707e-05  1.19925837e+00 
 2.40001530e-09  1.83590413e-04  1.19925863e+00 
 2.40003109e-09  3.73103097e-04  1.19925964e+00 
 2.40006268e-09  7.52128465e-04  1.19926362e+00 
 2.40012585e-09  1.51017920e-03  1.19927875e+00 
 2.40019511e-09  2.34128666e-03  1.19930516e+00 
 2.40027157e-09  3.25886116e-03  1.19934467e+00 
 2.40034792e-09  4.17499639e-03  1.19939352e+00 
 2.40043483e-09  5.21798035e-03  1.19945900e+00 
 2.40052612e-09  6.31345698e-03  1.19953764e+00 
 2.40063075e-09  7.56896582e-03  1.19963856e+00 
 2.40074313e-09  8.91760385e-03  1.19975818e+00 
 2.40087330e-09  1.04796193e-02  1.19990934e+00 
 2.40092792e-09  1.11350787e-02  1.19997645e+00 
 2.40096053e-09  1.15264156e-02  1.20002023e+00 
 2.40101336e-09  1.21602709e-02  1.20009876e+00 
 2.40104191e-09  1.25029152e-02  1.20014198e+00 
 2.40107678e-09  1.29214007e-02  1.20019548e+00 
 2.40114653e-09  1.37583716e-02  1.20030474e+00 
 2.40128603e-09  1.54323135e-02  1.20053162e+00 
 2.40152664e-09  1.83196691e-02  1.20094601e+00 
 2.40178644e-09  2.14373332e-02  1.20142139e+00 
 2.40207299e-09  2.48759105e-02  1.20197281e+00 
 2.40235896e-09  2.83075329e-02  1.20254552e+00 
 2.40267443e-09  3.20931263e-02  1.20319700e+00 
 2.40299962e-09  3.59954443e-02  1.20388437e+00 
 2.40335505e-09  4.02605501e-02  1.20464781e+00 
 2.40372397e-09  4.46875861e-02  1.20544790e+00 
 2.40412745e-09  4.95294413e-02  1.20632595e+00 
 2.40455286e-09  5.46343247e-02  1.20724949e+00 
 2.40502175e-09  6.02609956e-02  1.20825918e+00 
 2.40552581e-09  6.63097231e-02  1.20932972e+00 
 2.40609041e-09  7.30849503e-02  1.21050535e+00 
 2.40671582e-09  8.05898422e-02  1.21177399e+00 
 2.40744226e-09  8.93071128e-02  1.21319897e+00 
 2.40830234e-09  9.96280458e-02  1.21481541e+00 
 2.40932603e-09  1.11912314e-01  1.21663849e+00 
 2.41048367e-09  1.25804030e-01  1.21857128e+00 
 2.41175425e-09  1.41051044e-01  1.22054347e+00 
 2.41289853e-09  1.54782333e-01  1.22219508e+00 
 2.41399835e-09  1.67980247e-01  1.22368005e+00 
 2.41506737e-09  1.80808497e-01  1.22503448e+00 
 2.41617662e-09  1.94119425e-01  1.22635428e+00 
 2.41730009e-09  2.07601060e-01  1.22760874e+00 
 2.41848518e-09  2.21822161e-01  1.22884882e+00 
 2.41971426e-09  2.36571081e-01  1.23005070e+00 
 2.42104780e-09  2.52573639e-01  1.23126353e+00 
 2.42232240e-09  2.67868742e-01  1.23233462e+00 
 2.42309942e-09  2.77193062e-01  1.23294703e+00 
 2.42401284e-09  2.88154116e-01  1.23362691e+00 
 2.42475703e-09  2.97084326e-01  1.23414835e+00 
 2.42544552e-09  3.05346273e-01  1.23460468e+00 
 2.42618905e-09  3.14268574e-01  1.23506695e+00 
 2.42666659e-09  3.19999121e-01  1.23534733e+00 
 2.42733208e-09  3.27984997e-01  1.23571529e+00 
 2.42804251e-09  3.36510091e-01  1.23607732e+00 
 2.42878816e-09  3.45457978e-01  1.23642096e+00 
 2.42952605e-09  3.54312616e-01  1.23672197e+00 
 2.43029363e-09  3.63523573e-01  1.23699102e+00 
 2.43112807e-09  3.73536857e-01  1.23722829e+00 
 2.43199629e-09  3.83955450e-01  1.23740894e+00 
 2.43279819e-09  3.93578332e-01  1.23751018e+00 
 2.43345808e-09  4.01496977e-01  1.23754224e+00 
 2.43402284e-09  4.08274041e-01  1.23753019e+00 
 2.43450158e-09  4.14018904e-01  1.23748963e+00 
 2.43493651e-09  4.19238090e-01  1.23742731e+00 
 2.43533928e-09  4.24071404e-01  1.23734659e+00 
 2.43582062e-09  4.29847487e-01  1.23721859e+00 
 2.43632726e-09  4.35927140e-01  1.23704718e+00 
 2.43684775e-09  4.42172977e-01  1.23683078e+00 
 2.43720675e-09  4.46481038e-01  1.23665465e+00 
 2.43764211e-09  4.51705294e-01  1.23641178e+00 
 2.43817437e-09  4.58092441e-01  1.23607128e+00 
 2.43858471e-09  4.63016474e-01  1.23577333e+00 
 2.43910952e-09  4.69314217e-01  1.23534572e+00 
 2.43975387e-09  4.77046453e-01  1.23474659e+00 
 2.44044005e-09  4.85280650e-01  1.23401399e+00 
 2.44124312e-09  4.94917493e-01  1.23302783e+00 
 2.44214654e-09  5.05758465e-01  1.23174523e+00 
 2.44298962e-09  5.15875499e-01  1.23037553e+00 
 2.44386938e-09  5.26432575e-01  1.22876039e+00 
 2.44471642e-09  5.36597034e-01  1.22701891e+00 
 2.44562016e-09  5.47441948e-01  1.22495141e+00 
 2.44650029e-09  5.58003494e-01  1.22272278e+00 
 2.44742305e-09  5.69076615e-01  1.22015007e+00 
 2.44832029e-09  5.79843451e-01  1.21741398e+00 
 2.44881591e-09  5.85790939e-01  1.21579830e+00 
 2.44972276e-09  5.96673141e-01  1.21264411e+00 
 2.45060342e-09  6.07241043e-01  1.20933435e+00 
 2.45102250e-09  6.12270058e-01  1.20766665e+00 
 2.45173506e-09  6.20820725e-01  1.20468931e+00 
 2.45256021e-09  6.30722533e-01  1.20101996e+00 
 2.45262540e-09  6.31504814e-01  1.20071973e+00 
 2.45275578e-09  6.33069376e-01  1.20011463e+00 
 2.45277980e-09  6.33357620e-01  1.20000248e+00 
 2.45279515e-09  6.33541742e-01  1.19993852e+00 
 2.45280524e-09  6.33662843e-01  1.19989659e+00 
