 frequency       frequency       onoise_spectrum inoise_spectrum
 2.63026799e+05  2.63026799e+05  1.89973441e-09  1.64820051e-08 
 2.75422870e+05  2.75422870e+05  1.89860947e-09  1.64722452e-08 
 2.88403150e+05  2.88403150e+05  1.89753454e-09  1.64629191e-08 
 3.01995172e+05  3.01995172e+05  1.89650742e-09  1.64540079e-08 
 3.16227766e+05  3.16227766e+05  1.89552601e-09  1.64454932e-08 
 3.31131121e+05  3.31131121e+05  1.89458829e-09  1.64373576e-08 
 3.46736850e+05  3.46736850e+05  1.89369234e-09  1.64295844e-08 
 3.63078055e+05  3.63078055e+05  1.89283633e-09  1.64221576e-08 
 3.80189396e+05  3.80189396e+05  1.89201848e-09  1.64150620e-08 
 3.98107171e+05  3.98107171e+05  1.89123710e-09  1.64082828e-08 
 4.16869383e+05  4.16869383e+05  1.89049060e-09  1.64018062e-08 
 4.36515832e+05  4.36515832e+05  1.88977741e-09  1.63956186e-08 
 4.57088190e+05  4.57088190e+05  1.88909608e-09  1.63897074e-08 
 4.78630092e+05  4.78630092e+05  1.88844518e-09  1.63840602e-08 
 5.01187234e+05  5.01187234e+05  1.88782336e-09  1.63786654e-08 
 5.24807460e+05  5.24807460e+05  1.88722934e-09  1.63735117e-08 
 5.49540874e+05  5.49540874e+05  1.88666189e-09  1.63685884e-08 
 5.75439937e+05  5.75439937e+05  1.88611981e-09  1.63638854e-08 
 6.02559586e+05  6.02559586e+05  1.88560198e-09  1.63593927e-08 
 6.30957344e+05  6.30957344e+05  1.88510733e-09  1.63551011e-08 
 6.60693448e+05  6.60693448e+05  1.88463482e-09  1.63510016e-08 
 6.91830971e+05  6.91830971e+05  1.88418346e-09  1.63470857e-08 
 7.24435960e+05  7.24435960e+05  1.88375232e-09  1.63433451e-08 
 7.58577575e+05  7.58577575e+05  1.88334049e-09  1.63397721e-08 
 7.94328235e+05  7.94328235e+05  1.88294711e-09  1.63363591e-08 
 8.31763771e+05  8.31763771e+05  1.88257136e-09  1.63330991e-08 
 8.70963590e+05  8.70963590e+05  1.88221245e-09  1.63299852e-08 
 9.12010839e+05  9.12010839e+05  1.88186964e-09  1.63270109e-08 
 9.54992586e+05  9.54992586e+05  1.88154219e-09  1.63241700e-08 
 1.00000000e+06  1.00000000e+06  1.88122942e-09  1.63214565e-08 
