 frequency       frequency       onoise_spectrum inoise_spectrum
 1.20226443e+05  1.20226443e+05  1.67645234e-09  1.19586536e-08 
 1.25892541e+05  1.25892541e+05  1.67386231e-09  1.19401781e-08 
 1.31825674e+05  1.31825674e+05  1.67138509e-09  1.19225074e-08 
 1.38038426e+05  1.38038426e+05  1.66901594e-09  1.19056075e-08 
 1.44543977e+05  1.44543977e+05  1.66675028e-09  1.18894458e-08 
 1.51356125e+05  1.51356125e+05  1.66458371e-09  1.18739910e-08 
 1.58489319e+05  1.58489319e+05  1.66251201e-09  1.18592129e-08 
 1.65958691e+05  1.65958691e+05  1.66053115e-09  1.18450828e-08 
 1.73780083e+05  1.73780083e+05  1.65863723e-09  1.18315729e-08 
 1.81970086e+05  1.81970086e+05  1.65682652e-09  1.18186566e-08 
 1.90546072e+05  1.90546072e+05  1.65509547e-09  1.18063084e-08 
 1.99526231e+05  1.99526231e+05  1.65344063e-09  1.17945039e-08 
 2.08929613e+05  2.08929613e+05  1.65185872e-09  1.17832197e-08 
 2.18776162e+05  2.18776162e+05  1.65034660e-09  1.17724333e-08 
 2.29086765e+05  2.29086765e+05  1.64890124e-09  1.17621231e-08 
 2.39883292e+05  2.39883292e+05  1.64751975e-09  1.17522685e-08 
 2.51188643e+05  2.51188643e+05  1.64619935e-09  1.17428497e-08 
 2.63026799e+05  2.63026799e+05  1.64493739e-09  1.17338477e-08 
 2.75422870e+05  2.75422870e+05  1.64373133e-09  1.17252445e-08 
 2.88403150e+05  2.88403150e+05  1.64257871e-09  1.17170225e-08 
 3.01995172e+05  3.01995172e+05  1.64147722e-09  1.17091653e-08 
 3.16227766e+05  3.16227766e+05  1.64042462e-09  1.17016567e-08 
 3.31131121e+05  3.31131121e+05  1.63941876e-09  1.16944816e-08 
 3.46736850e+05  3.46736850e+05  1.63845759e-09  1.16876253e-08 
 3.63078055e+05  3.63078055e+05  1.63753916e-09  1.16810738e-08 
 3.80189396e+05  3.80189396e+05  1.63666158e-09  1.16748138e-08 
 3.98107171e+05  3.98107171e+05  1.63582306e-09  1.16688323e-08 
 4.16869383e+05  4.16869383e+05  1.63502188e-09  1.16631173e-08 
 4.36515832e+05  4.36515832e+05  1.63425639e-09  1.16576568e-08 
 4.57088190e+05  4.57088190e+05  1.63352502e-09  1.16524397e-08 
 4.78630092e+05  4.78630092e+05  1.63282625e-09  1.16474552e-08 
 5.01187234e+05  5.01187234e+05  1.63215866e-09  1.16426931e-08 
 5.24807460e+05  5.24807460e+05  1.63152087e-09  1.16381435e-08 
 5.49540874e+05  5.49540874e+05  1.63091154e-09  1.16337969e-08 
